dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
Production,0% 0% 100%,N,22.22,2.53,4.54,32.53,3.67,6.59
Unknown,0% 0% 100%,N,89.57,100.0,94.49,89.52,100.0,94.47
Unknown,0% 0% 100%,N,89.14,100.0,94.2,88.84,100.0,94.04
Unknown,0% 0% 100%,N,16.84,100.0,28.74,16.45,100.0,28.19
bpic2011_f1,0% 50% 50%,N,52.08,100.0,67.77,50.01,100.0,66.22
Unknown,0% 50% 50%,N,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,0% 50% 50%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,0% 50% 50%,N,59.79,100.0,74.83,59.82,100.0,74.85
Unknown,0% 50% 50%,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,0% 50% 50%,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,0% 50% 50%,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,0% 50% 50%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,0% 50% 50%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,0% 50% 50%,N,85.2,100.0,92.01,85.27,100.0,92.05
bpic2015_5_f2,0% 50% 50%,N,72.83,100.0,84.28,72.86,100.0,84.3
Unknown,0% 50% 50%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,0% 50% 50%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,0% 50% 50%,N,63.75,100.0,77.84,64.47,100.0,78.36
Unknown,0% 50% 50%,N,89.65,100.0,94.54,89.57,100.0,94.5
Unknown,0% 50% 50%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,0% 50% 50%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,0% 50% 50%,N,60.15,100.0,75.12,60.15,100.0,75.12
bpic2011_f1,25% 50% 25%,N,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,25% 50% 25%,N,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,25% 50% 25%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,25% 50% 25%,N,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,25% 50% 25%,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,25% 50% 25%,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,25% 50% 25%,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,25% 50% 25%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,25% 50% 25%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,25% 50% 25%,N,84.07,100.0,91.33,84.33,100.0,91.49
bpic2015_5_f2,25% 50% 25%,N,72.83,100.0,84.28,72.86,100.0,84.3
Unknown,25% 50% 25%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,25% 50% 25%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,25% 50% 25%,N,63.78,100.0,77.86,64.52,100.0,78.4
Unknown,25% 50% 25%,N,89.61,100.0,94.52,89.55,100.0,94.49
Unknown,25% 50% 25%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,25% 50% 25%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,25% 50% 25%,N,60.15,100.0,75.12,60.15,100.0,75.12
bpic2011_f1,33%,N,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,33%,N,38.52,100.0,55.59,38.42,100.0,55.48
Unknown,33%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,33%,N,59.79,100.0,74.83,59.82,100.0,74.85
Unknown,33%,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,33%,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,33%,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,33%,N,83.4,100.0,90.95,83.39,100.0,90.94
Unknown,33%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,33%,N,85.2,100.0,92.01,85.27,100.0,92.05
bpic2015_5_f2,33%,N,73.02,100.0,84.4,73.04,100.0,84.42
Unknown,33%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,33%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,33%,N,63.78,100.0,77.86,64.52,100.0,78.4
Unknown,33%,N,89.65,100.0,94.54,89.57,100.0,94.5
Unknown,33%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,33%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,33%,N,60.15,100.0,75.12,60.15,100.0,75.12
Unknown,50% 0% 50%,N,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,50% 0% 50%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,50% 0% 50%,N,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,50% 0% 50%,N,44.95,100.0,61.89,45.69,100.0,62.62
Unknown,50% 0% 50%,N,80.49,100.0,89.19,80.48,100.0,89.19
Unknown,50% 0% 50%,N,73.44,100.0,84.68,73.53,100.0,84.74
Unknown,50% 0% 50%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,50% 0% 50%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,50% 0% 50%,N,84.07,100.0,91.34,84.3,100.0,91.47
Unknown,50% 0% 50%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,50% 0% 50%,N,95.42,100.0,97.66,95.47,100.0,97.68
Unknown,50% 0% 50%,N,89.61,100.0,94.52,89.55,100.0,94.49
Unknown,50% 0% 50%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,50% 0% 50%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,50% 0% 50%,N,60.15,100.0,75.12,60.15,100.0,75.12
bpic2011_f1,50% 50% 0%,N,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,50% 50% 0%,N,38.62,100.0,55.71,38.57,100.0,55.65
Unknown,50% 50% 0%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,50% 50% 0%,N,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,50% 50% 0%,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,50% 50% 0%,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,50% 50% 0%,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,50% 50% 0%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,50% 50% 0%,N,74.39,100.0,85.31,74.39,100.0,85.32
Unknown,50% 50% 0%,N,84.19,100.0,91.41,84.43,100.0,91.55
bpic2015_5_f2,50% 50% 0%,N,73.22,100.0,84.54,73.24,100.0,84.55
Unknown,50% 50% 0%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,50% 50% 0%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,50% 50% 0%,N,64.07,100.0,78.07,64.59,100.0,78.46
Unknown,50% 50% 0%,N,89.35,100.0,94.37,89.35,100.0,94.37
Unknown,50% 50% 0%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,50% 50% 0%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,50% 50% 0%,N,60.15,100.0,75.12,60.15,100.0,75.12
